,brand,model,variant,price,year,mileage,transmission,fuel,colour
13,,C4 Cactus (2014-2017),C4 Cactus Flair,"10,873",2018,"27,135.0",Manual,Diesel,Metallic - Arctic steel
14,,C4 Cactus (2014-2017),C4 Cactus Flair,"7,995","62,246.0 miles",1.2,Petrol,5,Unknown
15,,C4 Cactus (2014-2017),C4 Cactus Flair,"14,995","11,891.0 miles",1.2,Petrol,5,Unknown
16,,C4 Cactus (2014-2017),C4 Cactus Feel,"7,995","64,817.0 miles",1.6,Diesel,5,Unknown
0,,C3 (2016-2020),C3 Flair,"10,250",2018,"22,928.0",Manual,Petrol,Metallic - Ruby red
1,,C3 (2016-2020),C3 Feel,"10,685",2019,"11,425.0",Manual,Petrol,Metallic - Ruby red
2,,C3 (2016-2020),C3 Flair,"10,985",2019,"8,383.0",Manual,Petrol,Metallic - Cumulus grey
3,,C3 (2016-2020),C3 Flair,"11,395",2019,"19,377.0",Manual,Petrol,Metallic - Cobalt blue
4,,C3 (2016-2020),C3 Flair Nav Edition,"11,491",2018,"17,155.0",Manual,Petrol,Metallic - Perla nera black
5,,C3 (2016-2020),C3 Flair,"12,770",2020,"14,687.0",Manual,Petrol,Metallic - Perla nera black
6,,C3 (2016-2020),C3 Flair Plus,"15,876",2019,"7,541.0",Automatic,Petrol,Metallic - Platinum grey
7,,C3 (2016-2020),C3 Flair,"10,499","22,268.0 miles",1.2,Petrol,5,Unknown
8,,C3 (2016-2020),C3 Flair,"11,999","16,765.0 miles",1.2,Petrol,5,Unknown
9,,C3 (2016-2020),C3 Flair,"10,844",2019,"18,318.0",Manual,Petrol,Metallic - Power Orange
10,,C3 (2016-2020),C3 Origins,"12,488",2020,"6,521.0",Manual,Petrol,Metallic - Perla nera black
11,,C3 (2016-2020),C3 Flair,"12,699",2020,"11,085.0",Manual,Petrol,Metallic - Ruby red
12,,C3 (2016-2020),C3 Flair,"10,250",2018,"22,928.0",Manual,Petrol,Metallic - Ruby red
13,,C3 (2016-2020),C3 Feel,"10,685",2019,"11,425.0",Manual,Petrol,Metallic - Ruby red
14,,C3 (2016-2020),C3 Flair,"10,985",2019,"8,383.0",Manual,Petrol,Metallic - Cumulus grey
15,,C3 (2016-2020),C3 Flair,"11,395",2019,"19,377.0",Manual,Petrol,Metallic - Cobalt blue
16,,C3 (2016-2020),C3 Flair Nav Edition,"11,491",2018,"17,155.0",Manual,Petrol,Metallic - Perla nera black
17,,C3 (2016-2020),C3 Flair,"12,770",2020,"14,687.0",Manual,Petrol,Metallic - Perla nera black
18,,C3 (2016-2020),C3 Flair Plus,"15,876",2019,"7,541.0",Automatic,Petrol,Metallic - Platinum grey
19,,C3 (2016-2020),C3 Flair,"10,499","22,268.0 miles",1.2,Petrol,5,Unknown
20,,C3 (2016-2020),C3 Flair,"11,999","16,765.0 miles",1.2,Petrol,5,Unknown
21,,C3 (2016-2020),C3 Flair,"10,844",2019,"18,318.0",Manual,Petrol,Metallic - Power Orange
22,,C3 (2016-2020),C3 Origins,"12,488",2020,"6,521.0",Manual,Petrol,Metallic - Perla nera black
23,,C3 (2016-2020),C3 Flair,"12,699",2020,"11,085.0",Manual,Petrol,Metallic - Ruby red
24,,C3 (2016-2020),C3 Flair,"10,250",2018,"22,928.0",Manual,Petrol,Metallic - Ruby red
25,,C3 (2016-2020),C3 Feel,"10,685",2019,"11,425.0",Manual,Petrol,Metallic - Ruby red
26,,C3 (2016-2020),C3 Flair,"10,985",2019,"8,383.0",Manual,Petrol,Metallic - Cumulus grey
27,,C3 (2016-2020),C3 Flair,"11,395",2019,"19,377.0",Manual,Petrol,Metallic - Cobalt blue
28,,C3 (2016-2020),C3 Flair Nav Edition,"11,491",2018,"17,155.0",Manual,Petrol,Metallic - Perla nera black
29,,C3 (2016-2020),C3 Flair,"12,770",2020,"14,687.0",Manual,Petrol,Metallic - Perla nera black
30,,C3 (2016-2020),C3 Flair Plus,"15,876",2019,"7,541.0",Automatic,Petrol,Metallic - Platinum grey
31,,C3 (2016-2020),C3 Flair,"10,499","22,268.0 miles",1.2,Petrol,5,Unknown
32,,C3 (2016-2020),C3 Flair,"11,999","16,765.0 miles",1.2,Petrol,5,Unknown
33,,C3 (2016-2020),C3 Flair,"10,844",2019,"18,318.0",Manual,Petrol,Metallic - Power Orange
